date,country,conflict_phase,war_month,gdp_billion_usd,gdp_growth_rate_pct,inflation_rate_pct,unemployment_rate_pct,food_price_index,energy_price_index,death_toll_cumulative,civilian_casualties,military_casualties,mortality_rate_per_100k,internally_displaced_m,external_refugees_m,total_displaced_m,explosive_incidents_month,conflict_area_km2,infrastructure_damage_busd,infrastructure_destroy_idx,humanitarian_aid_busd,foreign_military_aid_busd,recovery_score
01-01-2021,Russia,Pre-War,0,150.9934283,4.430867849,6.51815083,4.956908957,100.5316933,104.0634522,0,0,,12.4,,,0,0,0,0,,0,0,61.06105123
01-01-2021,Ukraine,Pre-War,0,19.08512009,2.768291154,7.627416197,9.572588681,97.17343951,98.10032867,0,,0,7.5,,0,0,0,0,0,,0,0,71.87542494
02-01-2021,Russia,Pre-War,0,150.1350564,3.787625907,5.56449382,4.533276777,98.69801285,106.5027921,0,0,,12.4,,,0,,0,0,,0,0,60.79872262
02-01-2021,Ukraine,Pre-War,0,17.4166125,2.699146694,9.481822548,9.495950833,98.88457814,108.2901796,0,,,7.5,,,0,0,0,,,0,0,70.5583127
03-01-2021,Russia,Pre-War,0,151.4769332,4.585684141,5.907481374,4.409668891,98.04295602,102.1206232,0,,,12.4,,,0,0,0,0,,0,0,62.64816794
03-01-2021,Ukraine,Pre-War,0,17.22983544,2.661539,8.489341031,9.809299857,102.8625602,101.6431299,0,,,7.5,,0,0,0,0,0,,0,0,72.38157525
04-01-2021,Russia,Pre-War,0,151.6250516,5.178120014,5.942391903,4.801059869,101.7232721,102.419521,0,,,12.4,,,0,,0,0,,0,0,56.76050979
04-01-2021,Ukraine,Pre-War,0,19.64380501,3.043523534,7.76079412,9.527528233,97.02486217,104.1213124,0,,,7.5,,0,0,0,0,0,,0,0,73.71422514
05-01-2021,Ukraine,Pre-War,0,15.0729701,3.148060139,8.208844218,9.501534037,100.5308257,99.33851703,0,0,,7.5,,,0,0,0,0,,0,0,72.15870935
05-01-2021,Russia,Pre-War,0,151.8308042,4.664375555,5.576191837,4.65398023,101.1941551,108.87458,0,,,12.4,,,0,0,0,0,,0,0,61.21578369
06-01-2021,Russia,Pre-War,0,150.5151008,4.462777042,4.464983028,4.492045837,101.1204604,114.8529684,0,0,0,12.4,,,0,,0,0,,0,0,61.93057646
06-01-2021,Ukraine,Pre-War,0,15.66264392,3.571411407,8.601546426,9.737309584,99.18122509,110.6111772,0,,,7.5,,0,0,,0,0,,0,0,70.19629787
07-01-2021,Russia,Pre-War,0,150.1993027,4.248262173,4.759469255,4.520568892,98.87539257,106.8943697,0,,,12.4,,,0,,0,0,,0,0,60.43349342
07-01-2021,Ukraine,Pre-War,0,17.35587697,3.406758609,7.015308547,9.56823798,103.6142855,98.57006706,0,0,,7.5,,,0,0,0,0,,0,0,73.36926772
08-01-2021,Russia,Pre-War,0,151.0438831,4.648492337,6.20039428,4.603934463,99.63995056,105.9290148,0,0,,12.4,,,0,0,0,0,,0,0,62.58614495
08-01-2021,Ukraine,Pre-War,0,16.57129716,3.932887256,8.379066337,9.142608951,102.3131072,101.1012733,0,,,7.5,,,0,,0,0,,0,0,74.57416921
09-01-2021,Ukraine,Pre-War,0,23.44033833,3.312833674,7.314273955,9.178732251,101.9649448,104.1061489,0,0,,7.5,,0,0,,0,,,0,0,74.42800099
09-01-2021,Russia,Pre-War,0,149.5092238,4.123131918,5.288388456,4.255256915,100.8457966,106.3646079,0,,,12.4,,,0,,0,0,,0,0,61.47068633
10-01-2021,Russia,Pre-War,0,148.3064126,3.742576388,5.642788038,4.756919638,101.4281875,100.0170449,0,,,12.4,,,0,0,0,0,,0,0,62.11641744
10-01-2021,Ukraine,Pre-War,0,15.7140594,3.17889368,8.448627621,9.824915373,103.1076041,99.48932253,0,,,7.5,,,0,,0,0,,0,0,71.12434992
11-01-2021,Russia,Pre-War,0,151.141781,5.06778282,6.763201411,4.695417375,100.3694615,108.0358769,0,,0,12.4,,,0,0,0,0,,0,0,66.62931713
11-01-2021,Ukraine,Pre-War,0,14.26546961,3.343130095,6.709827303,9.35842044,103.1779012,105.2571201,0,,0,7.5,,,0,0,0,0,,0,0,70.84451044
12-01-2021,Russia,Pre-War,0,154.2878882,4.816959511,4.379885931,4.555936294,99.67642707,108.4097333,0,,0,12.4,,,0,0,0,0,,,0,63.00997456
12-01-2021,Ukraine,Pre-War,0,19.73151039,2.399851796,7.732399011,9.357516407,99.69334153,112.061817,0,,0,7.5,,,0,,0,0,,0,0,73.80996342
13-01-2021,Russia,Pre-War,0,146.9612601,4.257882964,7.013528919,4.28769916,101.8876389,108.0985362,0,,0,12.4,,,0,0,0,0,,0,0,61.4948637
13-01-2021,Ukraine,Pre-War,0,15.50443364,3.816205652,6.855886898,9.367986654,101.2614812,110.7650932,0,,,7.5,,,0,0,0,0,,0,0,70.1282757
14-01-2021,Russia,Pre-War,0,150.1396042,4.307343202,6.090813876,4.698639202,104.1720336,100.048738,0,,,12.4,,,0,,0,0,,0,0,62.56198374
